Id,Sku,ManufacturerId,Description,WholesalePrice,RetailPrice,TradeDiscount,TradeDiscountRate
1,M1N620,1,леий емд йпхеир-окнвйю гю йнмярпсхпюме,10.89,16.75,5.86,TradeDiscountRate
2,M1N626,1,йпхеирзп-нямнбмю окнвйю я рпебю,10.89,16.75,5.86,53.81
3,M1N10500,1,дсокн-йнмчьмъ,44.80,68.92,24.12,53.84
4,M1N10501,1,дсокн-опхърекх фхбнрмх,7.48,11.50,4.02,53.74
5,M1N10502,1,дсокн-юбрнася б гнноюпйю,44.80,68.92,24.12,53.84
6,M1N10503,1,дсокн-жхпйнбн ьнс,13.98,21.50,7.52,53.79
7,M1N10504,1,дсокн-лнър озпбх жхпй,59.75,91.92,32.17,53.84
8,M1N10505,1,дсокн-йзыю гю хцпю,92.30,142.00,49.70,53.85
9,M1N10515,1,дсокн дхямх опхмжеях-ондбндмхъ гюлзй мю юпхек,47.50,73.08,25.58,53.85
10,M1N10516,1,дсокн дхямх опхмжеях-бзкьеамюрю кндйю мю юпхек,31.69,48.75,17.06,53.83
11,M1N10517,1,дсокн-лнърю озпбю цпюдхмю,13.98,21.50,7.52,53.79
12,M1N10518,1,дсокн-лнърю озпбю ярпнхрекмю окныюдйю,29.90,46.00,16.10,53.85
13,M1N10519,1,дсокн-йюлхнм гю нроюдзжх,29.90,46.00,16.10,53.85
14,M1N10520,1,дсокн-тюдпнлю,29.90,46.00,16.10,53.85
15,M1N10531,1,дсокн-лхйх люся х опхърекх,51.89,79.83,27.94,53.84
16,M1N10550,1,дсокн-жхпйнб рпюмяонпр,29.90,46.00,16.10,53.85
17,M1N10552,1,дсокн-йнкхвйх,28.06,43.17,15.11,53.85
18,M1N10553,1,дсокн-йсаверю гю хцпю гю мюи-люкйхре,21.73,33.42,11.69,53.80
19,M1N10554,1,дсокн-ярпнъ х хцпюъ,29.42,45.25,15.83,53.81
20,M1N10555,1,дсокн-йнтю я акнйверю ,37.33,57.42,20.09,53.82
21,M1N10558,1,дсокн-бкюйве я жхтпх,29.90,46.00,16.10,53.85
22,M1N10561,1,дсокн-кецн акнйверю гю ярпнеме,29.42,45.25,15.83,53.81
23,M1N10655,1,йнмярпсйрнп йюлхнмх всднбхыю,28.98,44.58,15.60,53.83
24,M1N10656,1,лнерн озпбн кецн охмжеях,11.22,17.25,6.03,53.74
25,M1N10657,1,лнър озпбх кецн йнлокейр,19.39,29.83,10.44,53.84
26,M1N10659,1,яхм йстюп я акнйверю,37.33,57.42,20.09,53.82
27,M1N10660,1,пнгнб йстюп я акнйверю,37.33,57.42,20.09,53.82
28,M1N10661,1,лнърю озпбю онфюпмю,11.22,17.25,6.03,53.74
29,M1N2114,1,мхмдфюцн-внонб,12.13,18.67,6.54,53.92
30,M1N2115,1,мхмдфюцн-анмгюи,12.13,18.67,6.54,53.92
31,M1N2116,1,мхмдфюцн-йпюгх,12.13,18.67,6.54,53.92
32,M1N2174,1,мхмдфюцн-йпзмвю ,12.08,18.58,6.50,53.81
33,M1N2175,1,мхмдфюцн-сюиокюь,12.08,18.58,6.50,53.81
34,M1N2255,1,мхмдфюцн-яемяеи бс,12.08,18.58,6.50,53.81
35,M1N2256,1,мхмдфюцн-кнпд цюплюднм,12.13,18.67,6.54,53.92
36,M1N2257,1,мхмдфюцн-яохмфхржс ярюпрнб йнлокейр,25.40,39.08,13.68,53.86
37,M1N2304,1,дсокн-нямнбмю окнвйю я рпебю,18.58,28.58,10.00,53.82
38,M1N2506,1,мхмдфюцн-дфхо яйекер,74.97,115.33,40.36,53.83
39,M1N2537,1,йнмярпсйрнп ,0.54,0.83,0.29,53.70
40,M1N3063,1,тпемдя-йкса он кереме уюпркеий,30.33,46.67,16.34,53.87
41,M1N31000,1,йпхеирзп-лхмх яохидзп,8.45,13.00,4.55,53.85
42,M1N31001,1,йпхеирзп-люкйх кержх,8.45,13.00,4.55,53.85
43,M1N31002,1,йпхеирзп-ясоеп пеиязп,13.98,21.50,7.52,53.79
44,M1N31003,1,йпхеирзп-вепбем пнрнп 3 б 1,13.98,21.50,7.52,53.79
45,M1N31004,1,йпхеирзп-ябхпео кереж 3 б 1,13.98,21.50,7.52,53.79
46,M1N31005,1,йпхеирзп-йюлхнм бкейюв,21.73,33.42,11.69,53.80
47,M1N31006,1,йпхеирзп-люцхярпюкем яохидярзп 3 б 1,28.98,44.58,15.60,53.83
48,M1N31007,1,йпхеирзп-яхкнб пнанр 3 б 1,28.98,44.58,15.60,53.83
49,M1N31008,1,йпхеирзп-цпзлнребхвмх йпхкю 3 б 1,28.98,44.58,15.60,53.83
50,M1N31009,1,йпхеирзп-люкйю йзыю 3 б 1,39.38,60.58,21.20,53.83
51,M1N3177,1,яхрх-люкйю йнкю,5.48,8.42,2.94,53.65
52,M1N3178,1,яхрх-бндем яюлнкер,11.65,17.92,6.27,53.82
53,M1N3183,1,тпемдя-цнрхмхър йюапхнкер мю яретюмх,22.38,34.42,12.04,53.80
54,M1N3221,1,яхрх-йюлхнм,31.80,48.92,17.12,53.84
55,M1N3365,1,яхрх-йнялхвеяйн азцх,8.40,12.92,4.52,53.81
56,M1N3366,1,яхрх-яюрекхр,26.49,40.75,14.26,53.83
57,M1N3367,1,яхрх-йнялхвеяйю янбюкйю,44.15,67.92,23.77,53.84
58,M1N3368,1,яхрх-йнялхвеяйю ярюмжхъ,92.41,142.17,49.76,53.85
59,M1N3930,1,тпемдя-нрйпхрюрю оейюпмю мю яретюмх,8.40,12.92,4.52,53.81
60,M1N3932,1,тпемдя-яжемюрю мю юмдпею,12.24,18.83,6.59,53.84
61,M1N3933,1,тпемдя-пюанрхкмхжюрю гю хгнаперемхъ мю нкхбхъ,12.30,18.92,6.62,53.82
62,M1N3934,1,тпемдя-йзыюрю гю йсвемжю мю лхъ,12.30,18.92,6.62,53.82
63,M1N3935,1,тпемдя-оюрпскзр гю днлюьмх кчахлжх мю яретюмх,12.46,19.17,6.71,53.85
